X: AES%D,Y: WIN%
0.004,0.667
-0.015,0.538
-0.017,0.5
0.01,0.538
-0.019,0.167
0.038,0.583
0.053,0.625
0.003,0.643
-0.034,0.6
-0.052,0.5
0.044,0.688
0.143,0.933
0.072,0.75
-0.017,0.5
-0.001,0.615
0.021,0.714
0.012,0.615
-0.009,0.636
0.01,0.538
0.026,0.643
-0.028,0.417
0.045,0.571
0.023,0.429
-0.032,0.357
0.038,0.583
0.059,0.75
-0.012,0.462
0.019,0.571
0.016,0.533
0.014,0.5
-0.041,0.533
0.014,0.5
-0.016,0.6
0.004,0.667
0.036,0.75
-0.092,0.357
-0.019,0.167
0.012,0.615
0.037,0.533
0.014,0.5
-0.049,0.357
0.005,0.6
0.016,0.533
0.058,0.615
0.022,0.462
-0.043,0.545
0.012,0.615
0.061,0.615
-0.138,0.0
-0.0,0.462
-0.01,0.462
-0.054,0.533
-0.114,0.214
-0.053,0.286
-0.009,0.636
-0.005,0.357
0.002,0.357
0.027,0.571
-0.017,0.5
0.055,0.357
-0.014,0.357
-0.005,0.357
-0.02,0.429
0.0,0.462
-0.054,0.533
0.021,0.714
0.031,0.562
0.033,0.6
-0.017,0.5
-0.118,0.143
-0.088,0.143
0.002,0.357
0.062,0.571
-0.002,0.562
0.061,0.615
-0.051,0.429
-0.008,0.5
-0.013,0.167
0.059,0.75
0.006,0.692
0.014,0.5
0.012,0.615
0.226,1.0
-0.226,0.0
0.038,0.583
-0.057,0.286
0.059,0.75
0.13,1.0
-0.13,0.0
0.013,0.714
-0.11,0.286
-0.004,0.333
0.028,0.533
-0.011,0.417
-0.002,0.562
-0.014,0.357
-0.08,0.417
-0.052,0.5
0.009,0.417
0.015,0.5
-0.027,0.25
0.062,0.571
-0.054,0.533
-0.049,0.357
0.026,0.643
-0.032,0.357
-0.075,0.0
-0.056,0.417
-0.03,0.333
-0.055,0.364
0.043,0.538
-0.051,0.429
0.059,0.75
-0.027,0.25
0.086,0.5
0.008,0.333
-0.068,0.455
-0.081,0.333
-0.082,0.167
0.026,0.643
0.073,0.786
0.117,0.857
-0.205,0.0
0.205,1.0
-0.103,0.333
0.049,1.0
