X: AES%,Y: WIN%
0.289,0.667
0.284,0.538
0.307,0.5
0.289,0.667
0.303,0.167
0.324,0.583
0.553,0.625
0.492,0.643
0.503,0.6
0.522,0.5
0.524,0.688
0.566,0.933
0.57,0.75
0.493,0.538
0.509,0.615
0.492,0.643
0.491,0.615
0.486,0.636
0.484,0.769
0.512,0.643
0.514,0.417
0.515,0.571
0.447,0.429
0.447,0.429
0.487,0.688
0.522,0.5
0.473,0.462
0.49,0.571
0.533,0.533
0.504,0.5
0.51,0.533
0.501,0.75
0.49,0.571
0.477,0.286
0.511,0.75
0.452,0.357
0.515,0.571
0.482,0.571
0.492,0.643
0.505,0.429
0.476,0.357
0.507,0.6
0.465,0.786
0.511,0.75
0.487,0.688
0.44,0.545
0.499,0.417
0.535,0.615
0.438,0.0
0.507,0.6
0.497,0.462
0.451,0.533
0.417,0.214
0.443,0.286
0.521,0.5
0.473,0.462
0.491,0.615
0.489,0.571
0.477,0.286
0.505,0.429
0.499,0.417
0.489,0.571
0.487,0.688
0.503,0.6
0.454,0.231
0.491,0.615
0.537,0.562
0.496,0.6
0.506,0.533
0.402,0.143
0.499,0.417
0.48,0.5
0.528,0.571
0.486,0.636
0.518,0.688
0.462,0.429
0.481,0.5
0.479,0.167
0.519,0.786
0.501,0.75
0.466,0.417
0.5,0.0
0.643,1.0
0.417,0.214
0.48,0.5
0.488,0.286
0.528,0.571
0.571,1.0
0.441,0.0
0.513,0.714
0.469,0.286
0.469,0.286
0.529,0.533
0.459,0.417
0.505,0.429
0.474,0.462
0.51,0.533
0.451,0.533
0.456,0.417
0.468,0.5
0.467,0.25
0.511,0.75
0.482,0.571
0.498,0.25
0.476,0.357
0.51,0.533
0.356,0.0
0.447,0.429
0.463,0.333
0.439,0.364
0.49,0.571
0.452,0.357
0.506,0.533
0.372,0.4
0.514,0.417
0.458,0.333
0.465,0.786
0.447,0.429
0.456,0.417
0.526,0.571
0.495,0.786
0.507,0.6
0.389,0.0
0.594,1.0
0.466,0.417
0.478,1.0
