X: ASh%D,Y: WIN%
-0.007,0.667
-0.004,0.538
-0.018,0.5
0.012,0.538
-0.007,0.667
0.024,0.583
0.073,0.625
0.012,0.538
-0.027,0.6
-0.034,0.5
0.036,0.688
0.132,0.933
0.078,0.75
0.012,0.538
0.002,0.615
0.016,0.714
0.004,0.615
0.009,0.636
0.017,0.769
0.019,0.643
-0.044,0.417
0.034,0.571
0.035,0.429
-0.033,0.357
0.033,0.688
0.023,0.75
-0.041,0.462
-0.005,0.571
0.018,0.533
-0.006,0.5
-0.043,0.533
0.044,0.75
-0.01,0.6
0.003,0.286
0.023,0.75
-0.091,0.357
-0.019,0.231
-0.009,0.571
0.006,0.533
0.024,0.583
-0.026,0.357
0.024,0.583
0.023,0.75
0.048,0.615
0.009,0.636
-0.039,0.545
0.014,0.417
0.05,0.615
-0.138,0.0
-0.01,0.6
-0.012,0.462
-0.049,0.533
-0.123,0.214
-0.067,0.286
-0.025,0.5
-0.012,0.462
0.015,0.357
0.034,0.571
-0.015,0.231
0.047,0.357
-0.005,0.571
-0.013,0.462
-0.014,0.429
0.001,0.286
-0.053,0.231
0.029,0.688
0.029,0.688
0.019,0.643
-0.02,0.533
-0.111,0.143
-0.075,0.143
0.009,0.636
0.081,0.571
-0.002,0.562
0.062,0.688
-0.048,0.429
-0.01,0.6
-0.017,0.167
0.064,0.786
0.023,0.75
0.011,0.417
0.012,0.538
0.258,1.0
-0.258,0.0
0.03,0.5
-0.023,0.286
0.073,0.625
0.083,1.0
-0.083,0.0
0.026,0.714
-0.083,0.0
-0.005,0.571
0.008,0.533
-0.024,0.417
0.006,0.533
0.004,0.615
-0.073,0.417
-0.049,0.533
0.002,0.615
0.015,0.357
-0.023,0.286
0.068,0.643
-0.032,0.333
-0.035,0.25
0.022,0.3
-0.043,0.533
-0.064,0.0
-0.077,0.417
-0.042,0.333
-0.075,0.143
0.035,0.429
-0.035,0.25
0.059,0.692
-0.023,0.286
0.082,0.5
0.009,0.636
-0.057,0.455
-0.07,0.333
-0.107,0.167
0.012,0.538
0.073,0.625
0.108,0.857
-0.142,0.0
0.142,1.0
-0.093,0.333
0.049,1.0
