X: ASh%,Y: WIN%
0.261,0.667
0.272,0.538
0.286,0.5
0.273,0.538
0.286,0.5
0.299,0.583
0.543,0.625
0.482,0.643
0.488,0.6
0.512,0.5
0.501,0.688
0.544,0.933
0.541,0.75
0.476,0.538
0.483,0.615
0.471,0.714
0.468,0.615
0.469,0.636
0.442,0.769
0.488,0.6
0.495,0.417
0.495,0.417
0.444,0.429
0.43,0.357
0.462,0.688
0.452,0.75
0.438,0.462
0.447,0.571
0.522,0.533
0.475,0.5
0.483,0.615
0.491,0.75
0.477,0.6
0.458,0.286
0.493,0.75
0.431,0.357
0.495,0.417
0.452,0.75
0.45,0.533
0.499,0.429
0.463,0.357
0.485,0.6
0.444,0.429
0.471,0.714
0.456,0.462
0.425,0.545
0.494,0.417
0.5,0.615
0.438,0.462
0.487,0.462
0.473,0.462
0.443,0.533
0.395,0.214
0.418,0.286
0.478,0.5
0.434,0.357
0.481,0.357
0.476,0.538
0.46,0.231
0.486,0.357
0.493,0.75
0.464,0.462
0.473,0.462
0.48,0.286
0.437,0.231
0.485,0.6
0.522,0.533
0.473,0.462
0.492,0.533
0.394,0.143
0.457,0.143
0.478,0.5
0.523,0.571
0.468,0.615
0.506,0.688
0.438,0.462
0.444,0.429
0.445,0.167
0.509,0.786
0.491,0.75
0.435,0.417
0.5,0.615
0.619,1.0
0.361,0.0
0.452,0.75
0.469,0.636
0.518,0.75
0.524,1.0
0.441,0.0
0.487,0.462
0.458,0.286
0.45,0.533
0.487,0.462
0.412,0.417
0.479,0.571
0.461,0.462
0.494,0.417
0.432,0.364
0.422,0.417
0.468,0.615
0.438,0.462
0.498,0.643
0.47,0.333
0.474,0.25
0.461,0.462
0.486,0.357
0.335,0.0
0.401,0.417
0.443,0.533
0.407,0.364
0.471,0.714
0.446,0.455
0.495,0.417
0.35,0.4
0.503,0.5
0.444,0.429
0.431,0.357
0.43,0.357
0.41,0.167
0.475,0.5
0.48,0.286
0.484,0.857
0.389,0.0
0.531,1.0
0.44,0.333
0.478,0.5
